obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
0;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
2;17;37.778;45;37.500;87;41.429;121;48.016;122;58.095;69;57.500;27;60.000;5;50.000;0;0.000;493;48.667
3;1;2.222;4;3.333;1;0.476;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
4;9;20.000;18;15.000;23;10.952;8;3.175;2;0.952;7;5.833;0;0.000;0;0.000;0;0.000;67;6.614
7;21;46.667;51;42.500;97;46.190;132;52.381;142;67.619;70;58.333;32;71.111;9;90.000;1;100.000;555;54.788
9;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
10;12;26.667;20;16.667;45;21.429;37;14.683;48;22.857;24;20.000;0;0.000;0;0.000;0;0.000;186;18.361
11;9;20.000;33;27.500;54;25.714;19;7.540;46;21.905;1;0.833;0;0.000;0;0.000;0;0.000;162;15.992
12;9;20.000;12;10.000;26;12.381;33;13.095;13;6.190;8;6.667;3;6.667;0;0.000;0;0.000;104;10.267
13;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
14;5;11.111;14;11.667;25;11.905;25;9.921;14;6.667;11;9.167;1;2.222;1;10.000;0;0.000;96;9.477
16;2;4.444;2;1.667;1;0.476;5;1.984;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
