obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
2;13;28.889;35;29.167;76;36.190;74;29.365;82;39.048;33;27.500;5;11.111;1;10.000;0;0.000;319;31.491
4;4;8.889;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
7;10;22.222;23;19.167;48;22.857;64;25.397;72;34.286;29;24.167;12;26.667;6;60.000;0;0.000;264;26.061
10;4;8.889;10;8.333;7;3.333;7;2.778;7;3.333;1;0.833;0;0.000;0;0.000;0;0.000;36;3.554
11;9;20.000;10;8.333;6;2.857;0;0.000;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;27;2.665
12;1;2.222;6;5.000;0;0.000;2;0.794;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
14;1;2.222;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
18;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
20;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
26;8;17.778;20;16.667;18;8.571;0;0.000;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;51;5.035
27;4;8.889;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
29;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
30;4;8.889;8;6.667;13;6.190;7;2.778;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;33;3.258
35;9;20.000;35;29.167;62;29.524;51;20.238;19;9.048;4;3.333;1;2.222;0;0.000;0;0.000;181;17.868
36;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
38;1;2.222;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
45;3;6.667;8;6.667;11;5.238;14;5.556;8;3.810;1;0.833;2;4.444;0;0.000;0;0.000;47;4.640
46;5;11.111;8;6.667;4;1.905;2;0.794;1;0.476;3;2.500;0;0.000;0;0.000;0;0.000;23;2.270
47;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
49;7;15.556;16;13.333;25;11.905;17;6.746;12;5.714;7;5.833;0;0.000;0;0.000;0;0.000;84;8.292
51;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
53;1;2.222;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
54;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
55;2;4.444;4;3.333;2;0.952;4;1.587;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
57;10;22.222;9;7.500;19;9.048;18;7.143;10;4.762;3;2.500;0;0.000;0;0.000;0;0.000;69;6.811
60;9;20.000;34;28.333;79;37.619;93;36.905;35;16.667;41;34.167;17;37.778;3;30.000;0;0.000;311;30.701
63;10;22.222;12;10.000;20;9.524;14;5.556;11;5.238;3;2.500;0;0.000;0;0.000;0;0.000;70;6.910
64;3;6.667;5;4.167;5;2.381;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;1.382
66;7;15.556;15;12.500;21;10.000;24;9.524;24;11.429;6;5.000;3;6.667;2;20.000;0;0.000;102;10.069
68;9;20.000;13;10.833;12;5.714;5;1.984;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;41;4.047
71;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
78;3;6.667;6;5.000;4;1.905;4;1.587;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
80;0;0.000;0;0.000;0;0.000;0;0.000;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
81;11;24.444;25;20.833;54;25.714;57;22.619;65;30.952;46;38.333;19;42.222;6;60.000;1;100.000;284;28.036
83;0;0.000;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
85;1;2.222;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
86;2;4.444;6;5.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
87;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
88;13;28.889;17;14.167;32;15.238;38;15.079;28;13.333;5;4.167;5;11.111;0;0.000;0;0.000;138;13.623
89;1;2.222;2;1.667;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
90;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
92;5;11.111;6;5.000;11;5.238;0;0.000;0;0.000;4;3.333;0;0.000;0;0.000;0;0.000;26;2.567
93;2;4.444;2;1.667;4;1.905;3;1.190;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;15;1.481
97;9;20.000;24;20.000;25;11.905;42;16.667;31;14.762;20;16.667;10;22.222;0;0.000;0;0.000;161;15.893
98;5;11.111;3;2.500;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
100;5;11.111;4;3.333;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
101;7;15.556;6;5.000;10;4.762;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
104;2;4.444;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
105;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
107;9;20.000;16;13.333;25;11.905;21;8.333;22;10.476;0;0.000;1;2.222;0;0.000;0;0.000;94;9.279
108;4;8.889;3;2.500;5;2.381;4;1.587;0;0.000;0;0.000;1;2.222;0;0.000;0;0.000;17;1.678
110;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
113;6;13.333;3;2.500;4;1.905;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;14;1.382
114;8;17.778;8;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
117;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
123;1;2.222;5;4.167;2;0.952;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
124;7;15.556;8;6.667;23;10.952;21;8.333;2;0.952;0;0.000;1;2.222;0;0.000;0;0.000;62;6.120
125;9;20.000;8;6.667;17;8.095;7;2.778;3;1.429;2;1.667;0;0.000;0;0.000;0;0.000;46;4.541
127;15;33.333;31;25.833;59;28.095;86;34.127;68;32.381;31;25.833;21;46.667;3;30.000;0;0.000;314;30.997
128;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
130;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
131;4;8.889;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
132;5;11.111;9;7.500;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
133;4;8.889;10;8.333;17;8.095;5;1.984;5;2.381;3;2.500;0;0.000;0;0.000;0;0.000;44;4.344
136;3;6.667;5;4.167;4;1.905;3;1.190;3;1.429;2;1.667;0;0.000;0;0.000;0;0.000;20;1.974
137;6;13.333;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
138;9;20.000;32;26.667;36;17.143;48;19.048;32;15.238;3;2.500;1;2.222;0;0.000;0;0.000;161;15.893
140;11;24.444;14;11.667;33;15.714;31;12.302;28;13.333;22;18.333;10;22.222;2;20.000;0;0.000;151;14.906
141;9;20.000;22;18.333;38;18.095;28;11.111;11;5.238;3;2.500;2;4.444;0;0.000;0;0.000;113;11.155
143;8;17.778;10;8.333;4;1.905;11;4.365;8;3.810;3;2.500;0;0.000;0;0.000;0;0.000;44;4.344
144;3;6.667;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
146;9;20.000;31;25.833;46;21.905;18;7.143;2;0.952;1;0.833;0;0.000;0;0.000;0;0.000;107;10.563
148;1;2.222;2;1.667;2;0.952;1;0.397;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;7;0.691
149;8;17.778;19;15.833;26;12.381;25;9.921;15;7.143;8;6.667;6;13.333;0;0.000;0;0.000;107;10.563
155;9;20.000;17;14.167;26;12.381;4;1.587;35;16.667;2;1.667;0;0.000;0;0.000;0;0.000;93;9.181
156;9;20.000;17;14.167;14;6.667;7;2.778;13;6.190;0;0.000;0;0.000;0;0.000;0;0.000;60;5.923
158;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
160;4;8.889;1;0.833;0;0.000;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;8;0.790
162;9;20.000;24;20.000;33;15.714;49;19.444;9;4.286;19;15.833;4;8.889;3;30.000;0;0.000;150;14.808
163;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
164;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
168;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
169;5;11.111;5;4.167;10;4.762;5;1.984;5;2.381;1;0.833;1;2.222;0;0.000;0;0.000;32;3.159
171;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
172;3;6.667;2;1.667;2;0.952;2;0.794;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
175;4;8.889;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
179;1;2.222;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
180;5;11.111;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
181;9;20.000;32;26.667;52;24.762;41;16.270;47;22.381;13;10.833;2;4.444;0;0.000;0;0.000;196;19.348
183;9;20.000;33;27.500;57;27.143;83;32.937;24;11.429;5;4.167;0;0.000;0;0.000;0;0.000;211;20.829
187;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
190;10;22.222;31;25.833;43;20.476;56;22.222;11;5.238;21;17.500;7;15.556;2;20.000;0;0.000;181;17.868
191;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
192;9;20.000;36;30.000;57;27.143;62;24.603;29;13.810;3;2.500;7;15.556;2;20.000;0;0.000;205;20.237
193;9;20.000;21;17.500;42;20.000;8;3.175;4;1.905;2;1.667;0;0.000;0;0.000;0;0.000;86;8.490
194;9;20.000;13;10.833;9;4.286;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;32;3.159
195;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
198;13;28.889;34;28.333;55;26.190;64;25.397;56;26.667;38;31.667;10;22.222;1;10.000;0;0.000;271;26.752
201;12;26.667;43;35.833;71;33.810;98;38.889;87;41.429;58;48.333;30;66.667;6;60.000;1;100.000;406;40.079
203;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
205;1;2.222;6;5.000;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;1.086
208;0;0.000;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
209;9;20.000;24;20.000;22;10.476;12;4.762;11;5.238;0;0.000;0;0.000;0;0.000;0;0.000;78;7.700
212;10;22.222;26;21.667;46;21.905;85;33.730;32;15.238;29;24.167;7;15.556;0;0.000;0;0.000;235;23.198
214;2;4.444;4;3.333;10;4.762;9;3.571;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;25;2.468
215;2;4.444;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
220;3;6.667;1;0.833;3;1.429;2;0.794;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
222;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
223;5;11.111;8;6.667;24;11.429;2;0.794;25;11.905;3;2.500;0;0.000;0;0.000;0;0.000;67;6.614
225;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
226;9;20.000;28;23.333;8;3.810;7;2.778;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;53;5.232
227;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
229;2;4.444;2;1.667;1;0.476;1;0.397;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
231;6;13.333;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
232;2;4.444;3;2.500;2;0.952;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
234;3;6.667;6;5.000;3;1.429;6;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;18;1.777
235;1;2.222;2;1.667;0;0.000;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
236;13;28.889;26;21.667;46;21.905;42;16.667;62;29.524;32;26.667;6;13.333;0;0.000;1;100.000;228;22.507
238;9;20.000;28;23.333;16;7.619;10;3.968;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;63;6.219
241;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
243;2;4.444;1;0.833;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
247;8;17.778;8;6.667;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;20;1.974
249;1;2.222;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
250;5;11.111;4;3.333;2;0.952;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
256;6;13.333;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
257;9;20.000;20;16.667;33;15.714;11;4.365;1;0.476;1;0.833;0;0.000;0;0.000;0;0.000;75;7.404
258;13;28.889;25;20.833;44;20.952;61;24.206;37;17.619;45;37.500;18;40.000;1;10.000;0;0.000;244;24.087
259;2;4.444;4;3.333;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
261;10;22.222;32;26.667;42;20.000;68;26.984;66;31.429;31;25.833;18;40.000;5;50.000;0;0.000;272;26.851
262;2;4.444;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
270;3;6.667;3;2.500;8;3.810;4;1.587;5;2.381;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
274;9;20.000;8;6.667;13;6.190;4;1.587;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;37;3.653
275;9;20.000;29;24.167;8;3.810;5;1.984;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;51;5.035
276;4;8.889;3;2.500;5;2.381;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;13;1.283
277;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
278;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
280;2;4.444;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
284;9;20.000;25;20.833;24;11.429;18;7.143;11;5.238;2;1.667;0;0.000;0;0.000;0;0.000;89;8.786
287;1;2.222;4;3.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
292;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
294;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
297;5;11.111;7;5.833;15;7.143;7;2.778;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;34;3.356
298;9;20.000;20;16.667;35;16.667;58;23.016;58;27.619;31;25.833;12;26.667;3;30.000;1;100.000;227;22.409
299;3;6.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
306;6;13.333;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
307;8;17.778;16;13.333;15;7.143;12;4.762;7;3.333;1;0.833;0;0.000;0;0.000;0;0.000;59;5.824
309;7;15.556;11;9.167;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;19;1.876
310;9;20.000;36;30.000;77;36.667;56;22.222;27;12.857;1;0.833;1;2.222;1;10.000;0;0.000;208;20.533
311;12;26.667;27;22.500;37;17.619;46;18.254;44;20.952;35;29.167;10;22.222;3;30.000;0;0.000;214;21.125
316;12;26.667;30;25.000;55;26.190;67;26.587;86;40.952;41;34.167;20;44.444;3;30.000;0;0.000;314;30.997
318;2;4.444;4;3.333;5;2.381;1;0.397;4;1.905;0;0.000;0;0.000;0;0.000;0;0.000;16;1.579
319;4;8.889;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
320;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
324;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
326;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
327;3;6.667;7;5.833;17;8.095;13;5.159;3;1.429;1;0.833;1;2.222;0;0.000;0;0.000;45;4.442
329;8;17.778;7;5.833;1;0.476;2;0.794;1;0.476;2;1.667;0;0.000;0;0.000;0;0.000;21;2.073
332;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
333;6;13.333;8;6.667;11;5.238;13;5.159;10;4.762;4;3.333;0;0.000;0;0.000;0;0.000;52;5.133
335;19;42.222;51;42.500;87;41.429;114;45.238;132;62.857;67;55.833;32;71.111;8;80.000;1;100.000;511;50.444
338;1;2.222;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
343;13;28.889;23;19.167;32;15.238;46;18.254;18;8.571;34;28.333;4;8.889;0;0.000;0;0.000;170;16.782
344;13;28.889;42;35.000;80;38.095;105;41.667;98;46.667;54;45.000;30;66.667;8;80.000;1;100.000;431;42.547
345;3;6.667;9;7.500;2;0.952;9;3.571;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;23;2.270
349;1;2.222;3;2.500;3;1.429;3;1.190;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
351;0;0.000;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
352;2;4.444;6;5.000;8;3.810;7;2.778;0;0.000;3;2.500;0;0.000;0;0.000;0;0.000;26;2.567
353;0;0.000;3;2.500;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
354;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
357;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
360;0;0.000;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
361;1;2.222;2;1.667;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.395
365;5;11.111;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
366;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
368;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
371;1;2.222;1;0.833;0;0.000;0;0.000;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;3;0.296
372;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
374;10;22.222;30;25.000;46;21.905;54;21.429;36;17.143;31;25.833;11;24.444;0;0.000;0;0.000;218;21.520
375;1;2.222;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
381;9;20.000;11;9.167;26;12.381;16;6.349;7;3.333;0;0.000;0;0.000;0;0.000;0;0.000;69;6.811
383;5;11.111;1;0.833;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.592
386;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
388;2;4.444;2;1.667;2;0.952;0;0.000;3;1.429;0;0.000;0;0.000;0;0.000;0;0.000;9;0.888
392;3;6.667;2;1.667;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;5;0.494
393;9;20.000;30;25.000;39;18.571;30;11.905;17;8.095;0;0.000;1;2.222;0;0.000;0;0.000;126;12.438
395;2;4.444;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;2;0.197
